Order_ID,Order Date-Time,Order_Priority,Cost
34215,5/14/2011-6:22:19,HIGH,Rs 69
34246,10/7/2010-2:13:5,CRITICAL,Rs 99
34631,10/23/2009-13:38:44,NOT SPECIFIED,Rs 59
35047,6/9/2010-21:24:40,MEDIUM,Rs 31
35266,1/10/2011-16:25:36,NOT SPECIFIED,Rs 44
35847,1/30/2009-3:26:5,CRITICAL,Rs 98
36001,3/28/2011-18:14:49,LOW,Rs 51
36134,11/22/2010-5:36:44,LOW,Rs 97
36135,5/30/2011-18:49:31,NOT SPECIFIED,Rs 27
36644,5/13/2012-11:59:12,HIGH,Rs 98
36646,6/8/2010-13:43:46,MEDIUM,Rs 15
36707,11/29/2009-20:26:38,MEDIUM,Rs 73
37253,9/1/2012-16:3:38,HIGH,Rs 45
37541,2/26/2010-10:46:29,MEDIUM,Rs 19
37634,5/21/2012-16:47:37,MEDIUM,Rs 26
37793,11/8/2009-18:8:29,NOT SPECIFIED,Rs 3
37860,8/27/2010-5:57:3,MEDIUM,Rs 911
38884,8/17/2012-21:36:11,HIGH,Rs 19
39364,11/9/2012-13:32:18,HIGH,Rs 88
39457,6/2/2011-12:41:43,CRITICAL,Rs 19
39683,8/10/2011-23:19:38,HIGH,Rs 5
39846,2/27/2009-22:57:7,LOW,Rs 76
40036,6/7/2010-13:47:54,NOT SPECIFIED,Rs 57
40067,2/17/2012-2:29:43,LOW,Rs 28
40132,2/23/2012-12:1:38,LOW,Rs 3
40160,10/15/2009-17:17:54,CRITICAL,Rs 52
40518,3/13/2009-10:58:50,CRITICAL,Rs 61
40804,3/12/2010-20:10:6,MEDIUM,Rs 56
40902,7/7/2009-8:16:10,LOW,Rs 86
41063,11/21/2012-11:46:8,LOW,Rs 99
41153,3/2/2009-17:17:49,MEDIUM,Rs 63
41184,9/22/2011-19:18:29,HIGH,Rs 5
41409,7/21/2011-3:58:13,NOT SPECIFIED,Rs 55
41696,7/13/2009-9:15:35,NOT SPECIFIED,Rs 811
42209,3/29/2010-7:59:8,HIGH,Rs 78
42561,2/6/2010-6:8:28,LOW,Rs 69
42564,9/12/2012-15:39:1,LOW,Rs 94
42695,12/22/2010-3:52:34,NOT SPECIFIED,Rs 33
42981,5/30/2009-13:33:4,CRITICAL,Rs 85
43109,12/21/2012-7:18:14,CRITICAL,Rs 18
43203,2/14/2012-1:25:13,NOT SPECIFIED,Rs 82
43236,7/3/2010-12:35:19,NOT SPECIFIED,Rs 2
43267,5/16/2011-6:35:41,CRITICAL,Rs 99
43329,3/7/2010-2:8:4,MEDIUM,Rs 25
43330,4/27/2009-22:30:17,NOT SPECIFIED,Rs 85
43364,4/7/2012-11:57:45,HIGH,Rs 82
43392,12/31/2010-16:7:5,MEDIUM,Rs 96
43781,2/2/2010-19:49:57,NOT SPECIFIED,Rs 38
44071,4/15/2012-22:18:40,NOT SPECIFIED,Rs 14
44519,5/19/2010-16:16:21,HIGH,Rs 29
44708,7/27/2009-23:10:36,NOT SPECIFIED,Rs 13
44772,3/31/2009-6:51:42,NOT SPECIFIED,Rs 1
44839,6/11/2012-12:40:15,CRITICAL,Rs 82
45217,9/1/2010-6:24:47,NOT SPECIFIED,Rs 5
45440,8/9/2012-14:57:4,CRITICAL,Rs 91
45766,5/7/2010-18:13:23,HIGH,Rs 85
45861,8/25/2011-23:33:15,MEDIUM,Rs 7
45957,9/21/2010-5:33:27,CRITICAL,Rs 22
46912,6/30/2012-10:31:46,LOW,Rs 711
46980,1/17/2011-23:1:7,CRITICAL,Rs 3
47460,10/10/2010-4:43:43,CRITICAL,Rs 311
47462,6/9/2011-3:46:15,HIGH,Rs 611
47620,6/26/2012-1:13:47,LOW,Rs 13
47749,3/16/2010-1:38:51,MEDIUM,Rs 63
47873,11/13/2010-10:52:57,CRITICAL,Rs 211
47943,11/14/2009-22:12:3,MEDIUM,Rs 47
48101,9/12/2011-4:20:29,HIGH,Rs 48
48295,11/23/2009-11:37:54,MEDIUM,Rs 48
48839,7/10/2010-22:27:41,CRITICAL,Rs 43
49154,3/6/2009-19:42:25,MEDIUM,Rs 211
49921,2/17/2011-2:52:45,LOW,Rs 79
49952,11/19/2011-2:35:32,HIGH,Rs 11
50117,6/3/2011-9:37:36,CRITICAL,Rs 77
50278,5/25/2010-17:15:17,HIGH,Rs 68
50374,5/30/2009-3:36:39,NOT SPECIFIED,Rs 111
50565,8/30/2012-23:50:5,HIGH,Rs 92
50688,12/16/2011-20:15:1,CRITICAL,Rs 21
50754,12/9/2009-5:7:40,NOT SPECIFIED,Rs 88
50914,7/3/2012-20:24:34,CRITICAL,Rs 1
51169,12/24/2010-23:5:54,HIGH,Rs 4
51938,5/17/2011-15:7:37,LOW,Rs 41
51970,1/11/2012-18:13:47,NOT SPECIFIED,Rs 15
51971,10/3/2011-16:26:33,NOT SPECIFIED,Rs 4
52193,3/5/2010-20:6:13,NOT SPECIFIED,Rs 3
52321,11/5/2011-8:34:20,HIGH,Rs 911
52386,1/5/2009-18:42:21,HIGH,Rs 34
52807,11/25/2010-22:3:8,MEDIUM,Rs 57
52929,4/8/2011-11:10:23,HIGH,Rs 311
52964,3/31/2010-18:52:23,CRITICAL,Rs 15
53156,3/10/2012-23:36:5,NOT SPECIFIED,Rs 1
53511,2/20/2009-13:5:3,MEDIUM,Rs 711
53797,10/1/2009-18:6:33,CRITICAL,Rs 211
53990,11/1/2012-18:32:42,NOT SPECIFIED,Rs 93
54083,7/21/2011-5:14:56,HIGH,Rs 73
54274,11/23/2010-19:35:55,NOT SPECIFIED,Rs 22
54276,2/6/2010-10:7:43,NOT SPECIFIED,Rs 21
54528,1/4/2011-5:49:17,MEDIUM,Rs 12
54567,8/2/2009-19:10:21,MEDIUM,Rs 1
54628,6/5/2010-21:57:49,HIGH,Rs 25
55298,8/2/2009-14:11:31,CRITICAL,Rs 14
55363,12/28/2010-10:59:18,HIGH,Rs 29
55366,10/10/2012-5:50:19,CRITICAL,Rs 51
55715,4/2/2011-18:54:47,CRITICAL,Rs 811
55875,11/25/2009-19:53:39,CRITICAL,Rs 79
56453,4/11/2012-10:30:40,CRITICAL,Rs 22
57127,2/16/2010-6:37:7,LOW,Rs 26
57344,9/24/2010-15:34:31,HIGH,Rs 211
57509,2/21/2009-3:47:3,LOW,Rs 25
57600,11/11/2012-7:22:47,CRITICAL,Rs 85
58055,10/27/2011-5:36:5,CRITICAL,Rs 1
58144,12/16/2009-23:42:52,LOW,Rs 78
58150,5/7/2010-18:33:31,CRITICAL,Rs 57
58340,1/8/2011-15:40:47,MEDIUM,Rs 16
58368,7/9/2012-15:20:51,HIGH,Rs 34
58434,3/9/2009-11:4:44,HIGH,Rs 11
58626,12/30/2011-23:6:14,HIGH,Rs 73
58688,3/29/2009-12:19:28,NOT SPECIFIED,Rs 46
59045,2/13/2011-5:34:34,CRITICAL,Rs 78
59047,1/28/2011-4:45:9,NOT SPECIFIED,Rs 57
59202,9/8/2012-16:15:28,MEDIUM,Rs 79
59207,5/18/2009-19:42:47,CRITICAL,Rs 91
59234,7/29/2012-17:56:29,LOW,Rs 511
59395,4/22/2012-19:3:28,CRITICAL,Rs 76
59558,7/16/2012-23:1:11,NOT SPECIFIED,Rs 92
59585,9/22/2012-12:26:12,HIGH,Rs 44
59651,5/20/2010-5:38:48,CRITICAL,Rs 61
645,12/2/2009-17:10:14,HIGH,Rs 11
769,6/1/2010-21:27:30,MEDIUM,Rs 54
773,9/25/2010-22:31:44,MEDIUM,Rs 88
1187,11/19/2012-10:17:4,MEDIUM,Rs 31
2339,12/14/2010-4:17:48,LOW,Rs 89
3521,10/25/2012-7:43:59,LOW,Rs 68
4007,6/17/2010-3:56:42,HIGH,Rs 611
4416,6/29/2012-6:2:36,LOW,Rs 64
4454,2/1/2009-22:29:49,LOW,Rs 59
5153,8/25/2011-21:55:21,CRITICAL,Rs 43
5446,6/20/2009-17:39:34,LOW,Rs 11
8131,5/3/2010-12:31:41,CRITICAL,Rs 211
8994,4/7/2009-4:16:31,LOW,Rs 48
9027,9/2/2011-23:33:38,LOW,Rs 31
9216,4/14/2011-11:12:2,MEDIUM,Rs 22
9537,2/13/2011-16:9:23,NOT SPECIFIED,Rs 47
9574,7/30/2011-19:13:36,MEDIUM,Rs 63
10435,8/10/2010-5:12:5,MEDIUM,Rs 9
10851,4/6/2009-10:34:5,HIGH,Rs 18
10852,10/26/2010-6:54:6,HIGH,Rs 67
11269,5/26/2012-22:34:9,LOW,Rs 57
11362,9/10/2012-17:12:50,LOW,Rs 91
11968,3/16/2011-4:25:39,LOW,Rs 611
12293,6/18/2011-17:43:1,HIGH,Rs 96
12773,1/11/2011-3:23:12,LOW,Rs 33
12934,3/5/2009-7:7:19,NOT SPECIFIED,Rs 15
13120,12/14/2009-3:13:30,LOW,Rs 511
13604,2/2/2009-16:16:19,NOT SPECIFIED,Rs 77
13927,8/26/2009-14:48:13,LOW,Rs 96
15044,3/6/2012-13:20:23,LOW,Rs 111
15139,11/19/2009-5:47:34,HIGH,Rs 24
15463,7/24/2010-23:57:16,LOW,Rs 211
15618,8/4/2010-3:36:7,MEDIUM,Rs 89
16100,3/7/2011-9:13:21,MEDIUM,Rs 68
16320,10/20/2011-20:35:23,NOT SPECIFIED,Rs 23
16419,8/4/2009-11:37:1,NOT SPECIFIED,Rs 71
17090,4/28/2010-13:40:22,LOW,Rs 37
17315,4/22/2009-23:45:12,LOW,Rs 511
17376,12/4/2011-8:43:11,HIGH,Rs 311
18210,8/6/2010-19:7:43,NOT SPECIFIED,Rs 54
18273,9/15/2011-14:2:8,LOW,Rs 5
18788,10/2/2009-17:26:46,NOT SPECIFIED,Rs 211
19042,3/1/2009-13:51:8,CRITICAL,Rs 48
19073,6/24/2009-6:2:55,NOT SPECIFIED,Rs 54
19365,1/16/2011-21:55:10,MEDIUM,Rs 45
19617,1/20/2012-22:1:54,LOW,Rs 22
20033,5/21/2010-23:34:41,CRITICAL,Rs 14
21223,3/15/2012-22:3:22,NOT SPECIFIED,Rs 24
21378,8/7/2011-19:46:4,MEDIUM,Rs 49
21542,5/21/2011-2:6:47,HIGH,Rs 58
22656,12/22/2010-10:41:58,NOT SPECIFIED,Rs 15
22695,7/3/2009-2:11:59,LOW,Rs 7
23076,5/27/2009-20:15:52,CRITICAL,Rs 68
24067,8/22/2012-16:41:6,HIGH,Rs 61
24388,1/26/2011-20:52:19,CRITICAL,Rs 9
24451,12/3/2012-11:29:22,CRITICAL,Rs 74
24806,9/6/2010-20:57:56,NOT SPECIFIED,Rs 38
24965,3/29/2011-19:3:32,LOW,Rs 82
25154,8/20/2010-11:16:22,HIGH,Rs 55
25315,12/2/2010-7:47:52,LOW,Rs 92
25376,3/26/2011-20:46:37,CRITICAL,Rs 11
26240,12/19/2009-5:53:29,CRITICAL,Rs 37
26791,4/29/2011-3:48:18,LOW,Rs 11
28836,10/24/2010-1:16:36,HIGH,Rs 34
28995,5/12/2010-19:37:54,HIGH,Rs 16
29121,4/11/2010-15:31:51,MEDIUM,Rs 94
29319,1/24/2009-2:32:13,LOW,Rs 84
29382,11/17/2010-2:4:10,HIGH,Rs 64
29445,9/29/2010-6:19:3,HIGH,Rs 89
29762,8/3/2010-20:28:57,CRITICAL,Rs 52
30048,6/13/2011-1:48:12,MEDIUM,Rs 97
30243,5/5/2010-9:26:42,CRITICAL,Rs 96
30372,8/30/2010-12:36:12,HIGH,Rs 58
30499,10/30/2012-3:55:15,HIGH,Rs 3
32199,7/15/2009-21:55:51,HIGH,Rs 78
32327,8/7/2012-12:1:25,LOW,Rs 55
32676,2/1/2009-17:46:11,CRITICAL,Rs 57
32835,7/7/2012-18:45:8,MEDIUM,Rs 57
32869,3/27/2009-10:7:36,MEDIUM,Rs 46
33763,9/23/2010-4:15:56,NOT SPECIFIED,Rs 79
34048,3/28/2011-2:7:32,LOW,Rs 63
34275,7/1/2009-18:26:34,LOW,Rs 4
34438,12/11/2010-12:51:1,HIGH,Rs 18
34880,9/16/2009-21:41:20,HIGH,Rs 25
34978,2/4/2011-13:3:4,HIGH,Rs 62
35141,9/11/2010-14:7:18,MEDIUM,Rs 86
35300,3/2/2010-9:2:51,MEDIUM,Rs 11
35558,9/15/2009-7:23:45,CRITICAL,Rs 55
36293,12/30/2010-11:56:7,MEDIUM,Rs 55
36516,7/25/2011-10:11:59,MEDIUM,Rs 57
36677,12/23/2009-5:13:52,LOW,Rs 67
37185,10/31/2012-6:30:6,HIGH,Rs 42
37888,12/22/2009-23:8:44,CRITICAL,Rs 14
38310,4/14/2012-14:59:49,HIGH,Rs 4
40327,5/13/2011-5:16:16,MEDIUM,Rs 62
40480,12/7/2011-9:28:47,CRITICAL,Rs 27
40800,12/4/2010-13:58:42,NOT SPECIFIED,Rs 94
40835,11/24/2009-17:13:17,HIGH,Rs 11
40871,9/13/2011-16:57:4,NOT SPECIFIED,Rs 27
41570,12/3/2010-10:3:20,NOT SPECIFIED,Rs 42
41991,12/18/2011-1:34:9,LOW,Rs 53
42400,8/9/2012-12:18:22,LOW,Rs 78
42754,8/24/2010-20:38:36,CRITICAL,Rs 12
42918,5/22/2011-1:21:23,HIGH,Rs 67
42944,11/18/2012-13:55:29,CRITICAL,Rs 23
44037,6/28/2012-12:46:48,HIGH,Rs 22
44387,2/4/2009-9:32:32,LOW,Rs 4
44576,12/25/2009-22:40:19,NOT SPECIFIED,Rs 54
45601,9/26/2011-13:13:43,HIGH,Rs 28
45606,9/22/2011-4:16:14,MEDIUM,Rs 84
46119,2/15/2009-2:51:10,CRITICAL,Rs 13
46756,10/11/2009-16:3:15,MEDIUM,Rs 21
47714,3/10/2011-8:8:13,MEDIUM,Rs 12
47846,8/11/2012-2:15:25,HIGH,Rs 511
47876,12/25/2009-16:50:38,HIGH,Rs 23
48067,6/29/2012-9:28:16,LOW,Rs 27
48199,1/18/2009-9:26:15,NOT SPECIFIED,Rs 49
49029,5/20/2012-12:7:51,HIGH,Rs 88
49216,3/19/2009-22:36:33,HIGH,Rs 93
49990,9/5/2009-20:17:37,NOT SPECIFIED,Rs 49
50081,11/3/2009-16:59:14,NOT SPECIFIED,Rs 79
50404,3/26/2011-5:31:22,HIGH,Rs 79
50784,2/10/2012-15:14:39,HIGH,Rs 28
50850,5/6/2009-4:58:50,CRITICAL,Rs 89
51075,11/23/2010-6:23:29,NOT SPECIFIED,Rs 96
51461,2/10/2011-18:35:27,NOT SPECIFIED,Rs 53
51558,3/29/2010-5:6:33,NOT SPECIFIED,Rs 1
52130,9/5/2012-15:59:18,LOW,Rs 61
52482,1/31/2011-2:20:39,CRITICAL,Rs 211
53410,8/7/2009-16:53:46,CRITICAL,Rs 84
53477,5/5/2012-10:46:35,HIGH,Rs 311
53508,11/10/2009-20:6:7,HIGH,Rs 16
53703,6/14/2010-20:37:9,NOT SPECIFIED,Rs 46
54115,1/7/2012-9:53:53,LOW,Rs 411
54437,12/19/2010-6:9:52,HIGH,Rs 39
54501,11/29/2012-1:33:54,CRITICAL,Rs 81
54753,4/18/2009-15:41:30,MEDIUM,Rs 51
55138,9/24/2009-8:50:43,HIGH,Rs 16
55271,3/11/2011-10:43:17,MEDIUM,Rs 54
55331,12/13/2010-22:23:55,HIGH,Rs 21
55618,1/21/2012-23:33:6,MEDIUM,Rs 92
56645,1/6/2012-6:55:28,LOW,Rs 8
56803,12/10/2009-12:41:7,NOT SPECIFIED,Rs 48
